,Unnamed: 0.1,Unnamed: 0,index,table_id,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
363,363,363,364,Generalissimo_0,What year was Spain defeated by the military force Francisco de Miranda served as Generalissimo ?,"Reasoning: The table shows Francisco de Miranda as serving as Generalissimo of the Venezuelan Army in 1812.  This does not indicate Spain's defeat.  The table does not include any information about Spanish defeats.  It appears from the context that Miranda failed in his attempt to liberate Spanish America. 
Answer:  There is no year in which Spain was defeated by a military force Francisco de Miranda served as Generalissimo. 
",24 June 1821,"Not enough information provided. 
",24 june 1821,not enough information provided,0.0,0.0
364,364,364,365,Soviet_Union_at_the_1988_Winter_Olympics_0,"Who was the partner of an athlete who had an ice rink named after him , after they won the gold in a two-man , movie-inspiring 1988 Winter Olympic event ?","Reasoning: 
""To find the answer, we need to identify the athlete who won the gold in a two-man event at the 1988 Winter Olympics that inspired a movie. This matches with the row: ""Gold | Jānis Ķipurs Vladimir Kozlov | Bobsleigh | Two-man"".  The movie referred to is ""Cool Runnings"", which is inspired by the Jamaican Bobsleigh team's participation in the 1988 Olympics.  The text states that an ice rink in the hometown of  Jānis Ķipurs was named after him because of his success. Thus, the partner of the athlete who had the rink named after him is Vladimir Kozlov.""

Answer - [""Vladimir Kozlov""] 
",Vladimir Kozlov,"Vladimir Kozlov 
",vladimir kozlov,vladimir kozlov,100.0,100.0
365,365,365,366,Single-party_state_2,Which political party took over the nation which contains the Arab Liberation Movement in 1963 with a violent coup ?,"Reasoning: ""To answer the question, we need to find the row which corresponds to the nation that contains the Arab Liberation Movement, then find the party that took over in 1963. The row for Syria includes the Arab Liberation Movement and notes the Syrian Ba'athist Party came to power in 1963. The description of the Arab Liberation Movement also notes that it was dissolved after a military coup, indicating violence was involved in the transition of power.""
Answer: [""Syrian Ba'athist Party""] 
",Ba'athist,"Syrian Ba'athist Party 
",ba'athist,ba'athist,100.0,100.0
366,366,366,367,List_of_United_States_Navy_losses_in_World_War_II_5,"What is the date for the ship , DD-463 , named for an officer in the Navy during World War I and a recipient of the Medal of Honor ?","Reasoning: 
To find the date for the ship DD-463, we need to locate the row with the 'Name' column as 'Corry' because the context states that 'USS Corry ( DD-463 )' is the ship in question. Then, we need to find the date from the corresponding row. 

Answer: 
6 June 1944 
",6 June 1944,"6 June 1944 
",6 june 1944,6 june 1944,100.0,100.0
367,367,367,368,1984_NFL_Draft_0,What is the year of birth of the player drafted by the Dallas Cowboys out of Washington in the 1984 NFL Draft ?,"Reasoning: 
To find the year of birth of the player drafted by the Dallas Cowboys out of Washington, we need to identify the row corresponding to Dallas Cowboys and Washington.  This row is: 'Dallas Cowboys | Vince Albritton | S | Washington | Pac-10'.  From the additional context, we can see that 'Vince Albritton' was born on July 23, 1962.
Answer: 1962 
",1962,"1962 
",1962,1962,100.0,100.0
368,368,368,369,List_of_improvisational_theatre_companies_1,What issues does the improv theater in Minneapolis founded in 2015 put special focus on ?,"Reasoning: To find the improv theater in Minneapolis founded in 2015, we need to find the row with ""Minneapolis, Minnesota"" as the location and ""2015"" as the Date Established. This row is ""Blackout Improv.""  The table indicates Blackout Improv's Improv Type is ""-"" which means we need to look to the additional context for information. The additional context for Blackout Improv states they focus on civil rights issues such as police brutality, white privilege, and cultural appropriation.

Answer: [""police brutality"", ""white privilege"", ""cultural appropriation""] 
",civil rights,"[""police brutality"", ""white privilege"", ""cultural appropriation""] 
",civil rights,"[police brutality, white privilege, cultural appropriation]",0.0,0.0
369,369,369,370,2012_CR_Vasco_da_Gama_season_1,What team does the person who won the Best Right ( Wing ) Back in the 2012 Campeonato Carioca play for currently ?,"Reasoning:
To answer this question, we need to find the row with the ""Best Right ( Wing ) Back"" award in the 2012 Campeonato Carioca and identify the corresponding player. Then, we need to use the additional context to determine what team that player currently plays for. The relevant row is ""Fagner | 23 | 2012 Campeonato Carioca | best Right ( wing ) back | Won"". Fagner is the player. We then need to look at the provided context for information about Fagner. The context states ""Fagner Conserva Lemos ( born 11 June 1989 ) , known simply as Fagner ( Brazilian Portuguese : [ \u02c8fagn\u025b\u0281 ] ) , is a Brazilian professional footballer who plays as a right back for Corinthians and the Brazil national team ."". This tells us that Fagner currently plays for Corinthians.

Answer: Corinthians 
",Corinthians,"Corinthians 
",corinthians,corinthians,100.0,100.0
370,370,370,371,1999_College_Baseball_All-America_Team_0,Which year did the university attended by Jay Gehrke get a victory in the collegiate world series ?,"Reasoning:  To determine the year Pepperdine University, attended by Jay Gehrke, won the College World Series, we need to find the entry for Pepperdine in the table and then refer to the additional context for information about the school.  The table shows Jay Gehrke attending Pepperdine. The context states that the Pepperdine Waves won the national championship in 1992. 
Answer: 1992 
",1992,"1992 
",1992,1992,100.0,100.0
371,371,371,372,1950_British_Grand_Prix_0,Which moniker of the racer who finished the qualifying round of the British Grand Prix of 1950 in 1:51.2 alludes to his lower limbs ?,"Reasoning: 
To answer the question, we need to find the racer who finished with a time of 1:51.2 and identify their moniker. The table indicates Juan Manuel Fangio finished with a time of 1:51.2. The provided context says that Juan Manuel Fangio was nicknamed ""El Chueco"", which translates to ""The Bowlegged"" or ""The Bandy Legged One"".

Answer:  ""El Chueco"" 
",El Chueco,"""El Chueco"" 
",el chueco,el chueco,100.0,100.0
372,372,372,373,2012_FC_Seoul_season_1,"What school did the player move from who was born May 13 , 1992 ?","Reasoning: 
To find the school the player born on May 13, 1992 moved from, we need to identify the row corresponding to the player's birth date. From the provided context, we know Cho Min-Woo was born on May 13, 1992. Looking at the table, we can find the row with the name ""Cho Min-Woo"" and identify the ""Moving from"" column to determine the school. 

Answer: Dongguk University 
",Dongguk University,"Dongguk University 
",dongguk university,dongguk university,100.0,100.0
373,373,373,374,List_of_prizes_named_after_people_2,The artist who greatly influenced the art of illustrating children 's books has an award named after him that is handed out yearly by whom ?,"Reasoning: The question asks about an award named after an artist who influenced the illustration of children's books, and who gives out this award.  We need to find the award named after an artist who influenced children's book illustration. From the table, we can see that the Caldecott Medal is named after Randolph Caldecott, who greatly influenced the illustration of children's books during the nineteenth century. The context states that the Caldecott Medal is awarded annually by the Association for Library Service to Children (ALSC), a division of the American Library Association (ALA).

Answer: [""Association for Library Service to Children (ALSC)"", ""American Library Association (ALA)""] 
",Association for Library Service to Children,"[""Association for Library Service to Children (ALSC)"", ""American Library Association (ALA)""] 
",association for library service to children,"[association for library service to children (alsc), american library association (ala)]",70.58823529411764,0.0
374,374,374,375,ShoMMA_0,Which river is the site of the city which hosted a Strikeforce event in the eleventh month of 2010 ?,"Reasoning: 
To determine the river that the site of the city hosting a Strikeforce event in the eleventh month of 2010, we need to find the row that corresponds to that event. Looking at the table, we see that row 12 has the date November 19, 2010. The Venue column shows Jackson Convention Complex, and the Location column says Jackson, Mississippi. Thus, we need to find the river associated with Jackson, Mississippi. The context states that ""Jackson sits on the Pearl River"".
Answer: Pearl River",Pearl River,"Pearl River 
",pearl river,pearl river,100.0,100.0
375,375,375,376,Communist_Party_of_Great_Britain_election_results_4,Who is the candidate of the constituency that was abolished in 2011 ?,"Reasoning:
To determine the candidate of the constituency that was abolished in 2011, we need to identify the constituency that was abolished in 2011 and then find the corresponding candidate in the table. From the additional context, we know that the Aberdeen North Holyrood constituency was abolished in 2011. Looking at the table, we see that the candidate for Aberdeen North is Aitken Ferguson.

Answer: Aitken Ferguson 
",Aitken Ferguson,"Aitken Ferguson 
",aitken ferguson,aitken ferguson,100.0,100.0
376,376,376,377,I-League_10,The player from Nigeria plays for an Indian team that has won the national league title in what seasons ?,"Reasoning: 
To answer the question, we need to find the row for the player from Nigeria. From the table, this player is Odafe Onyeka Okolie. We then need to find his team. This is listed as Churchill Brothers. We then need to find the seasons in which Churchill Brothers won the national league title. The text states that Churchill Brothers has won the national league title twice, in the 2008-09 and 2012-13 seasons.

Answer: 
[""2008-09"", ""2012-13""] 
",2008-09,"[""2008-09"", ""2012-13""] 
",2008-2009,"[2008-09, 2012-13]",0.0,0.0
377,377,377,378,1970_International_Cross_Country_Championships_5,When was the country that was in first place at the 1970 International Cross Country Championships first occupied ?,"Reasoning:
""To determine the date of the first occupation of the country in first place at the 1970 International Cross Country Championships, we need to identify the country that won in 1970 and then refer to the provided context to find the corresponding date of occupation. The table shows that England came in first place. The context mentions that England's name originates from the Angles, a Germanic tribe who settled during the 5th and 6th centuries. Therefore, the first occupation of England can be traced back to this period, approximately between 5th and 6th centuries.""

Answer: 
Between the 5th and 6th centuries 
",Upper Palaeolithic,"5th and 6th centuries 
",upper palaeolithic,5 and 6 centuries,0.0,0.0
378,378,378,379,Denise_Faye_1,What year was the performance in the venue founded as the Shakespeare Workshop in 1954 by Joseph Papp ?,"Reasoning:  The question asks about a performance in a venue founded by Joseph Papp in 1954.  The table shows the venue ""Joseph Papp Public Theater"" in the row for ""The Winter's Tale"" in the year 1989.  

Answer: 1989 
",1989,"1989 
",1989,1989,100.0,100.0
379,379,379,380,List_of_members_of_the_Rajya_Sabha_13,What is the appointment date of the member who earlier was the president of the Students Federation of India ?,"Reasoning:
To determine the appointment date of the member who was previously the president of the Students Federation of India, we need to find the row corresponding to that individual. Based on the more context provided, K.K. Ragesh is the only member listed who was previously the president of the Students Federation of India.  We can then extract the ""Date of Appointment"" from his row in the table.

Answer: 
22-Apr-2015 
",22-Apr-2015,"22-Apr-2015 
",22-apr-2015,22-apr-2015,100.0,100.0
380,380,380,381,Minnesota_Vikings_draft_history_12,In what year was the player from the college nicknamed the Hurricanes drafted ?,"Reasoning:
  ""To answer the question, we first need to determine the player who played for the college nicknamed the Hurricanes. The table shows that Chuck Foreman played for Miami (FL), which is nicknamed the Hurricanes. Next, we need to find the year Chuck Foreman was drafted. The more context section provides information about Chuck Foreman, indicating he was drafted 12th overall in the 1973 NFL draft.""
Answer: 1973 
",1973,"1973 
",1973,1973,100.0,100.0
381,381,381,382,Dancing_with_the_Stars_(Australian_season_13)_2,"How many steps per minute is the fast-paced Spanish military march , in which the winning dancer with the highest points is a Filipina singer ?","Reasoning: 
To answer the question, we need to find the dance that corresponds to the ""fast-paced Spanish military march"" description, identify the winning dancer with the highest points, and finally, determine the steps per minute from the provided information. 

1. Looking at the table, we see the ""Paso doble"" dance, which is described as ""fast-paced Spanish military march"" in the additional context. 
2. The winning dancer for the ""Paso doble"" is Tina Arena, who is described as a Filipina singer in the additional context.
3. The additional context for ""Paso doble"" mentions ""its speed allowed troops to give 120 steps per minute"". 

Answer: 120 steps per minute 
",120,"120 
",120.0,120.0,100.0,100.0
382,382,382,383,Amy_Madigan_0,Which sex partner specializes in geology in the 1996 movie in which Amy Madigan played Maddie Stephens ?,"Reasoning: 
To find the sex partner specializing in geology, we need to find the movie Amy Madigan played Maddie Stephens in, then examine the 'More context' section to identify her partner and their profession.

The table shows Amy Madigan played Maddie Stephens in the 1996 movie ""Female Perversions"". 

Looking at the 'More context' section, we see that ""Female Perversions"" mentions that Maddie Stephens' male sex partner is ""a male geologist John"".

Answer: 
John 
",John,"John 
",john,john,100.0,100.0
383,383,383,384,List_of_fictional_towns_in_literature_0,What month was the final book by the person who wrote Discworld published ?,"Reasoning:  To answer the question, we need to find the author of Discworld, then find the month in which their final book was published.  The author of Discworld is Sir Terry Pratchett.  The information about his final book is contained in the description of Sir Terry Pratchett: ""...The final Discworld novel, The Shepherd's Crown, was published in August 2015...""
Answer: August 
",August,"August 
",august,august,100.0,100.0
384,384,384,385,2013_Southeastern_Conference_football_season_1,What is the birth date of this American football defensive end who played college football for the Gamecocks ?,"Reasoning: The question asks for the birth date of the defensive end who played for the Gamecocks. We need to find the row where the Player column contains a defensive end and the Team column contains ""South Carolina"". The only row that satisfies both conditions is the row with ""Jadeveon Clowney"" as the Player and ""South Carolina"" as the Team. 

Answer: February 14, 1993 
","February 14 , 1993","February 14, 1993 
","february 14 , 1993","february 14, 1993",100.0,100.0
385,385,385,386,Registrar_of_the_University_of_Oxford_0,"What was the education of the Registrar who was born January 10 , 1746 ?","Reasoning: To answer the question, we need to find the Registrar born on January 10, 1746, and then identify his education from the table. The relevant row is: John Gutch | 1797-1824 | All Souls College | All Souls College | Gutch was chaplain of All Souls from 1770 until his death in 1831; he also served as college librarian, registrar of the chancellor's court and clerk of the Oxford market. On his retirement as Registrar in 1824, he was awarded an annuity of £200 by the university. His main act of scholarship was his edition of Anthony Wood's own English-language version of his history of the university (originally written in Latin, but revised later by Wood in translation). Other publications included two volumes of miscellaneous historical material about the university.
Answer: [""All Souls College""] 
",All Souls College,"All Souls College 
",all souls college,all souls college,100.0,100.0
386,386,386,387,Gimhae_International_Airport_3,"What airline uses , like Shanghai Airlines , as their principal hub the airport that received 364,181 flyers from the airport in Gimhae in 2018 ?","Reasoning: 
""To determine the airline that uses the airport with 364,181 flyers from Gimhae in 2018 as their principal hub, we need to find the row with the corresponding passenger count and then identify the airline listed in the 'Top carriers' column. The row with 364,181 passengers is the one for Shanghai-Pudong. The 'Top carriers' column for this row lists Asiana Airlines, China Eastern Airlines, Korean Air, and Shanghai Airlines. The question asks for the airline that uses the airport as their *principal* hub, similar to Shanghai Airlines. Of the listed airlines, Shanghai Airlines is the only one that uses Shanghai-Pudong as its principal hub. Therefore, the answer is Shanghai Airlines."" 
Answer: Shanghai Airlines 
",China Eastern Airlines,"Shanghai Airlines 
",china eastern airlines,shanghai airlines,40.0,0.0
387,387,387,388,Netherlands_at_the_2012_Summer_Olympics_0,What event does the medalist born on July 1978 in Tubbergen compete in ?,"Reasoning: We need to find the row where the athlete was born in July 1978. The table contains many athletes but the only one with a birth month of July is Adelinde Cornelissen, born on July 8, 1979. 
Answer: Equestrian",Team jumping,"Equestrian 
",team jumping,equestrian,0.0,0.0
388,388,388,389,List_of_cruise_ships_17,How long was the first trip made by the ship that started running in 2012 ?,"Reasoning: To find the ship that started running in 2012, we need to locate the row with 'Began operation' as '2012'.  This row is 'Riviera | Oceania Cruises | 2012 | 66,084 | Operating'. The question asks for the length of the first trip, which is not available in the table.  The provided context mentions the first trip of 'Riviera' starting from Venice to Athens and lasting 10 days.
Answer: 10 days 
",10-day,"10 days 
",10-day,10 ,0.0,0.0
389,389,389,390,Benny_Carter_1,"Which title was released first ? an album which was released by the saxophonist and composer Benny Carter and was recorded in 1977 , or an album by saxophonist Benny Carter that was first recorded in 1957 ?","Reasoning:  The question asks which album was released first, one recorded in 1977 or one recorded in 1957. To answer this, we need to find the rows with the years 1977 and 1957 and determine which one has the earlier year listed in the 'Year' column. 
- The row with '1977' in the 'Year' column is ""'Live and Well in Japan !"". 
- The row with '1957' in the 'Year' column is ""Urbane Jazz"". 
- Since 1957 is earlier than 1977, the album recorded in 1957 was released first.

Answer: ""Urbane Jazz"" 
",Jazz Giant,"Urbane Jazz 
",jazz giant,urbane jazz,50.0,0.0
390,390,390,391,Norway_at_the_2010_Winter_Olympics_0,"How many times did the gold medalist in men 's 50,000 meter classical skiing at the Olympic Games of 2010 earn a World Championship ?","Reasoning: The table shows that Petter Northug won the gold medal in men's 50 km classical skiing at the 2010 Olympic Games. The additional context states that Petter Northug won 13 World Championship gold medals. 

Answer: 13 
",13,"13
",13.0,13.0,100.0,100.0
391,391,391,392,Grammy_Award_for_Best_Music_Film_0,What band won the 1997 Grammy Award for Best Music Film for a television documentary and a three-volume set of double albums produced by the head of Apple Corps ?,"Reasoning: To determine the band that won the 1997 Grammy Award for Best Music Film, we need to locate the row for the year 1997 and identify the 'Performing artist(s)' column. The row with 1997 in the 'Year' column indicates that 'The Beatles' won the Grammy Award for Best Music Film. 

Answer: [""The Beatles""] 
",The Beatles Anthology,"The Beatles 
",the beatles anthology,the beatles,66.66666666666666,0.0
392,392,392,393,Michael_Sheen_performances_1,Who was screenwriter of the 1996 movie in which Michael Sheen portrayed Bradshaw ?,"Reasoning: The table lists movies in the 'Film' column and roles in the 'Role' column. To answer this question, we need to find the row where the 'Role' is 'Bradshaw', then find the year, and look up the screenwriter of the movie based on the year. The table shows the movie 'Mary Reilly' released in 1996 with a role 'Bradshaw', and according to the additional context, the screenwriter of the movie 'Mary Reilly' is Christopher Hampton.
Answer: Christopher Hampton 
",Christopher Hampton,"Christopher Hampton 
",christopher hampton,christopher hampton,100.0,100.0
393,393,393,394,2004_German_Grand_Prix_0,"For the constructor located in Cologne , Germany , that never finished first in a Grand Prix , What driver had the lowest time ?","Reasoning:  The question asks for the driver with the lowest time from the constructor located in Cologne, Germany, that never finished first in a Grand Prix.  Looking at the table, we can see that the constructor ""Toyota"" is located in Cologne, Germany.  We can also see that Toyota never finished first in a Grand Prix.  The driver with the lowest time for Toyota is Olivier Panis with a time of 1:14.368.

Answer: [""Olivier Panis""] 
",Olivier Panis,"Olivier Panis 
",olivier panis,olivier panis,100.0,100.0
394,394,394,395,14th_Legislative_Assembly_of_British_Columbia_0,What party is affiliated with the district that first appeared on the hustings in the large redistribution prior to the 1903 election ?,"Reasoning: To determine the party affiliated with the district that first appeared in the large redistribution prior to the 1903 election, we need to identify the districts with a first appearance in 1903, and then find the corresponding party affiliation from the table.
Looking at the table, the following districts first appeared in 1903:
- Atlin
- Columbia
- Cranbrook
- Delta
- Fernie
- Kaslo
- Lillooet
- Kamloops
The corresponding party affiliations from the table are:
- Atlin: Liberal
- Columbia: Liberal
- Cranbrook: Liberal
- Delta: Conservative
- Fernie: Conservative
- Kaslo: Liberal
- Lillooet: Conservative
- Kamloops: Liberal
Therefore, the party affiliated with the district that first appeared in the large redistribution prior to the 1903 election is either Liberal or Conservative. 

Answer: [""Liberal"", ""Conservative""] 
",Liberal,"[""Liberal"", ""Conservative""] 
",liberal,"[liberal, conservative]",66.66666666666666,0.0
395,395,395,396,"List_of_mathematicians,_physicians,_and_scientists_educated_at_Jesus_College,_Oxford_2",What is the degree of the student who was born on 15 November 1866 ?,"Reasoning:  To answer the question we need to first find the row corresponding to the student born on 15 November 1866. The given context provides the date of birth for Arthur Church as 28 March 1865 and the date of birth for Robert Cyril Layton Perkins as 15 November 1866. We then look at the ""Degree"" column for the row with this date and see that Robert Cyril Layton Perkins' degree is BA Natural Science ( Animal Morphology ) ( 4th ).

Answer: BA Natural Science ( Animal Morphology ) ( 4th ) 
",BA Natural Science ( Animal Morphology ) ( 4th ),"BA Natural Science ( Animal Morphology ) ( 4th ) 
",ba natural science,ba natural science,100.0,100.0
396,396,396,397,"List_of_highways_in_Essex_County,_New_York_0","What is the distance in miles for the highway , longer than 30 miles , in either of the towns where the population was 2,506 at the 2010 census ?","Reasoning: The question asks for the distance in miles of the highway longer than 30 miles in the towns with a population of 2,506 at the 2010 census. We need to look at the table and identify the towns with a population of 2,506. The town ""Jay"" has a population of 2,506. We need to find the highway longer than 30 miles that passes through Jay. The highways NY 9N and NY 22 are longer than 30 miles and they pass through Jay. 

Answer: [""67.69"", ""61.02""] 
",67.69,"[""67.69"", ""61.02""] 
",67.69,"[67.69, 61.02]",66.66666666666666,0.0
397,397,397,398,List_of_Virtual_Console_games_for_Wii_(North_America)_5,What game is developed by Sega 's secondary development division for arcade applications ?,"Reasoning: To identify the game developed by Sega's secondary development division for arcade applications, we need to find the rows in the table where the 'Developer (s)' column lists a company named 'Sega AM2'.  There are two such rows: Space Harrier II and Sword of Vermilion. 

Answer: [""Space Harrier II"", ""Sword of Vermilion""] 
",Space Harrier II,"""Space Harrier II"", ""Sword of Vermilion"" 
",space harrier ii,space harrier ii,100.0,100.0
398,398,398,399,1999_San_Marino_Grand_Prix_0,"Between 1991 and 1996 , the constructor of the last place finisher was known as what ?","Reasoning: The table shows the results of a Formula 1 race. The information we are looking for is the constructor of the last place finisher. The last place finisher is Toranosuke Takagi, who is driving for Arrows. However, Arrows was only known as Arrows from 1991-1996. The question asks about the constructor of the last place finisher ""between 1991 and 1996,"" and since Arrows is the constructor for the last place finisher in this race, and Arrows is known as Arrows between 1991-1996, Arrows must be the answer.

Answer: Arrows",Footwork,"Arrows 
",foo2rk,arrows,0.0,0.0
399,399,399,400,List_of_Wilfrid_Laurier_University_people_3,What years did the chancellor of Wilfrid Laurier University after June 2003 lead the Liberal Party of Canada ?,"Reasoning:  We need to find the individuals who held the position of Chancellor of Wilfrid Laurier University after June 2003, then check if they also served as the leader of the Liberal Party of Canada. From the table, the Chancellors after June 2003 are: 
* John A. Pollock: March 31, 2008 - October 27, 2011
* Michael Lee-Chin: October 28, 2011 - Sept 13, 2016
* Eileen Mercier: Sept 14, 2016 - Current
From the More context, we see that Bob Rae was the interim leader of the Liberal Party of Canada from 2011 to 2013, which falls within John A. Pollock's term as Chancellor. 

Answer: [""2011 to 2013""] 
",2011 to 2013,"2011 to 2013 
",2011 to 2013,2011 to 2013,100.0,100.0
400,400,400,401,2013_Campeonato_Pernambucano_0,What is the city of the team that is the only football club in Pernambuco that has won the state championship 6 times in a row ?,"Reasoning: 
  We need to find the team that is the only football club in Pernambuco that has won the state championship 6 times in a row. Looking at the table, we can see that Clube Náutico Capibaribe is from Recife and has won 21 titles, with the last one being in 2004. The more context also provides the information that Clube Náutico Capibaribe is the only football club in Pernambuco that has won the state championship 6 times in a row (from 1963 to 1968).
Answer: Recife 
",Recife,"Recife 
",recife,recife,100.0,100.0
401,401,401,402,Gabrielle_Union_0,How much did the 2001 film in which Gabrielle Union played Denise Johnson gross at the box office ?,"Reasoning: To find the box office gross of the 2001 film ""The Brothers"" in which Gabrielle Union played Denise Johnson, we need to find the row corresponding to the year 2001 and the role Denise Johnson. The relevant row is: 2001 | The Brothers | Denise Johnson. The provided context mentions that ""The Brothers"" grossed almost $30 million at the box office.

Answer - Almost $30 million 
",$ 30 million,"Almost $30 million 
",30.0,almost 30,0.0,0.0
402,402,402,403,2004_World_Series_of_Poker_0,"How many times has the victor in $ 2,000 Pot Limit Omaha at the World Series of Poker of 2004 made it to the final table in the World Poker Tour ?","Reasoning: 
To determine how many times the victor in the $2,000 Pot Limit Omaha at the World Series of Poker of 2004 made it to the final table in the World Poker Tour, we need to identify the winner of this event from the table and find that player's information in the provided context.  The table shows that Chau Giang won the $2,000 Pot Limit Omaha event. Looking at the context for Chau Giang, we find that he is a ""three-time final tablist of the World Poker Tour."" 

Answer: 3 
",three,"3 
",3.0,3.0,100.0,100.0
403,403,403,404,Juno_Award_for_Artist_of_the_Year_4,Which indie rock band does the winner of the Juno Award for Artist of the Year in 2008 belong to when not soloing ?,"Reasoning: The table shows that Feist won the Juno Award for Artist of the Year in 2008. The provided context details that Feist is a member of the indie rock group Broken Social Scene. 
Answer: Broken Social Scene 
",Broken Social Scene,"Broken Social Scene 
",broken social scene,broken social scene,100.0,100.0
404,404,404,405,Valleyfair_0,In what month did the ride that opened in 1999 open ?,"Reasoning: To determine when the ride that opened in 1999 opened, we need to find the row in the table with the year '1999' in the 'Year Opened' column. The relevant row is: Mad Mouse | 1999 | Arrow Dynamics | A steel wild mouse roller coaster | 4. We can also see that the ""More Context"" information states that ""Mad Mouse was manufactured by Arrow Dynamics and opened on May 8, 1999."" Therefore, the ride opened in May. 

Answer - May 
",May,"May 
",may,may,100.0,100.0
405,405,405,406,1997_Belarusian_Premier_League_0,In what year was the stadium home to the MPKC Mozyr opened ?,"Reasoning: To answer the question, we need to find the stadium where MPKC Mozyr plays and then locate the year it was opened.  The table tells us that MPKC Mozyr plays at the Yunost Stadium (Mozyr).  The provided more context tells us that the Yunost Stadium (Mozyr) was opened in 1992. 
Answer - 1992 
",1992,"1992 
",1992,1992,100.0,100.0
406,406,406,407,List_of_flag_bearers_for_Tanzania_at_the_Olympics_0,What is the middle name of the swimmer who was the Tanzania flag bearer at the summer season Olympics that is commonly known as Rio 2016 ?,"Reasoning:  The question asks for the middle name of the swimmer who was the Tanzania flag bearer at the Rio 2016 summer Olympics. We need to find the row in the table that corresponds to the 2016 Summer Olympics and then find the flag bearer's middle name.  The row for the 2016 Summer Olympics shows Magdalena Moshi as the flag bearer. The provided context tells us ""Magdalena Ruth Moshi"" is a Tanzanian swimmer.

Answer: Ruth 
",Ruth,"Ruth 
",ruth,ruth,100.0,100.0
407,407,407,408,List_of_living_Medal_of_Honor_recipients_2,When was the branch of the medic who received the Medal of Honor created ?,"Reasoning:  The question asks when the branch of the medic who received the Medal of Honor was created. The table shows Gary B. Beikirch as a medic who received the Medal of Honor. The table shows he is in the Army.  The more context section gives information about the Army. According to this information, the Army was formed on June 3, 1784.
Answer: June 3, 1784. 
",3 June 1784,"June 3, 1784
",3 june 1784,"june 3, 1784",100.0,0.0
408,408,408,409,Western_Europe_0,What country ( ies ) use the language that is the most widely learned second language ?,"Reasoning: The question asks which country uses the language that is the most widely learned second language. We need to find the language that is the most widely learned second language, and then find the country that uses that language. 
According to the context, ""English is the most widely learned second language."" 
The table shows that the United Kingdom uses English. 

Answer: United Kingdom 
",United Kingdom,"United Kingdom 
",united kingdom,united kingdom,100.0,100.0
409,409,409,410,List_of_submissions_to_the_53rd_Academy_Awards_for_Best_Foreign_Language_Film_0,The 1980 French-language film written by Réjean Ducharme was directed by a director related to what famous Hollywood brothers ?,"Reasoning: To answer the question, we need to locate the French-language film from 1980, identify its director, and then determine their relation to famous Hollywood brothers. 
The table shows that the film ""Good Riddance"" (French: ""Les Bons débarras"") was released in 1980 and was directed by Francis Mankiewicz. We also see that Francis Mankiewicz's father was a second cousin to the famous Hollywood brothers Joseph L. Mankiewicz and Herman J. Mankiewicz. 

Answer: [""Joseph L. Mankiewicz"", ""Herman J. Mankiewicz""] 
",Joseph L. Mankiewicz and Herman J. Mankiewicz,"[""Joseph L. Mankiewicz"", ""Herman J. Mankiewicz""] 
",joseph l. mankiewicz and herman j. mankiewicz,"[joseph l. mankiewicz, herman j. mankiewicz]",92.3076923076923,0.0
410,410,410,411,Great_Britain_at_the_1932_Summer_Olympics_0,"Riding with his brother Stanley , the English athlete received what medal in both the 1928 and 1932 Summer Olympics , in which his sport featured six different events ?","Reasoning:  To determine which medal the English athlete Ernest Chambers received with his brother Stanley in the 1928 and 1932 Summer Olympics, we need to find the athlete's name in the table and identify the medal they won.  We also need to know which sport they participated in and the number of events in that sport during the Olympics. We can identify the athlete as Ernest Chambers from the table and the provided context information.  The table indicates that Ernest Chambers won a Silver medal in the Men's Tandem event at the 1932 Summer Olympics. Looking at the table, we can see that he competed in Cycling. The context provides that the Cycling at the 1932 Summer Olympics consisted of six events: two road cycling events and four track cycling events. In the provided context we find that Ernest Chambers also won a silver medal in the 1928 Summer Olympics.
Answer: [""Silver"", ""Cycling""] 
",silver medal,"Silver, Cycling 
",silver medal,"silver, cycling",50.0,0.0
411,411,411,412,List_of_Presbyterian_churches_in_the_United_States_44,"What is the address of the church added to the National Register of Historic Places on January 15 , 1980 and is located within the village that is an occupant of Columbia County ?","Reasoning: The question asks for the address of the church added to the National Register of Historic Places on January 15, 1980, and is located within the village that is an occupant of Columbia County. To find the answer, we need to locate the row in the table that corresponds to the church added to the National Register of Historic Places on January 15, 1980, and then look for the location in the ""City, State"" column. The row with ""1980 NRHP-listed"" in the ""Dates"" column is ""Pardeeville Presbyterian Church"", which has a location of ""Pardeeville, Wisconsin"".  From the additional context, we can confirm that ""Pardeeville, Wisconsin"" is indeed located within Columbia County.  Therefore, the address is ""105 S. Main St. 43°32′7″N 89°18′8″W / 43.53528°N 89.30222°W / 43.53528 ; -89.30222 ( Pardeeville Presbyterian Church )"".

Answer: 105 S. Main St. 43°32′7″N 89°18′8″W / 43.53528°N 89.30222°W / 43.53528 ; -89.30222 ( Pardeeville Presbyterian Church ) 
",105 South Main Street,"105 S. Main St. 
",105 south main street,105 s. main st,50.0,0.0
