,index,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
74,74,Who did Dianna Agron play in Midnight: Life Behind Bars and CSI:NY?,"Decompose to subquestions- 

sq1. What role did Dianna Agron play in Midnight: Life Behind Bars? (independent)  
sq2. What role did Dianna Agron play in CSI: NY? (independent)  

answers:  
Answer to sq1: Kelly in After Midnight: Life Behind Bars.  
Answer to sq2: Jessica Grant in CSI: NY.  

final_answer: Kelly in After Midnight: Life Behind Bars, Jessica Grant in CSI: NY.","Agron played Kelly in the 2006 film After Midnight: Life Behind Bars, but her role in CSI:NY was Jessica Grant, who appears in one episode.","Kelly, Jessica Grant 
","agron played kelly in the 2006 film after midnight: life behind bars, but her role in csi:ny was jessica grant, who appears in 1 episode","kelly, jessica grant",22.22222222222222,0.0
75,75,"When did James Hamilton Lewis (D), James M. Slattery (D), and  Charles W. Brooks (R) were formally installed?","Decompose to subquestions-  
sq1. When was James Hamilton Lewis (D) formally installed? (independent)  
sq2. When was James M. Slattery (D) formally installed? (independent)  
sq3. When was Charles W. Brooks (R) formally installed? (independent)  

Answers-  
Answer to sq1: April 14, 1939  
Answer to sq2: October 10, 1939  
Answer to sq3: November 22, 1940  

Final answer: April 14, 1939; October 10, 1939; November 22, 1940.","James Hamilton Lewis (D), until April 9, 1939 James M. Slattery (D), April 14, 1939 – November 21, 1940 Charles W. Brooks (R), from November 22, 1940.","April 14, 1939; October 10, 1939; November 22, 1940 
","james hamilton lewis (d), until april 9, 1939 james m. slattery (d), april 14, 1939 - november 21, 1940 charles w. brooks (r), from november 22, 1940","april 14, 1939; october 10, 1939; november 22, 1940",40.0,0.0
76,76,What awards and nominations did the telenova Verdades Secretas earn at the 2016 International Emmy Awards?,"Decompose to subquestions:
- sq1. Identify the rows that contain information about Verdades Secretas at the 2016 International Emmy Awards. (independent)
- sq2. Extract the award and category from the relevant rows. (depends on sq1)
- sq3. Extract the result from the relevant rows. (depends on sq1)
- sq4. Combine the extracted award, category, and result into a final answer. (depends on sq2, sq3)

answers:
- Answer to sq1: The relevant rows are:
  2016 | International Emmy Awards | Best Telenovela | Walcyr Carrasco | Won
  2016 | International Emmy Awards | Best Actress | Grazi Massafera | Nominated
- Answer to sq2: Best Telenovela and Best Actress
- Answer to sq3: Won and Nominated
- Answer to sq4: Verdades Secretas won Best Telenovela and Grazi Massafera was nominated for Best Actress at the 2016 International Emmy Awards.

final_answer: Verdades Secretas won Best Telenovela and Grazi Massafera was nominated for Best Actress at the 2016 International Emmy Awards.","At the 2016 International Emmy Awards, Verdades Secretas earned a nomination for Best Actress, for Grazi Massafera's performance, and, won Best Telenovela.","Verdades Secretas won Best Telenovela, and Grazi Massafera was nominated for Best Actress. 
","at the 2016 international ey awards, verdades secretas earned a nomination for best actress, for grazi massafera's performance, and, won best telenovela","verdades secretas won best telenovela, and grazi massafera was nominated for best actress",60.60606060606061,0.0
77,77,Who were the last two finishers in the women's 200 metre individual medley at the 2012 Summer Olympics and what were their times?,"Decompose to subquestions-  
sq1. Who were the last two finishers in the women's 200 metre individual medley at the 2012 Summer Olympics? (independent)  
sq2. What were their times? (depends on sq1)  

Answers-  
Answer to sq1: The last two finishers were Katinka Hosszú from Hungary and Hannah Miley from Great Britain.  
Answer to sq2: Their times were 2:14.19 for Katinka Hosszú and 2:11.29 for Hannah Miley.  

Final_answer: Katinka Hosszú (2:14.19) and Hannah Miley (2:11.29).","Great Britain's Hannah Miley and Hungary's Katinka Hosszú finished 7th and 8th with times of 2:11.29 and 2:14.19, respectively.","Katinka Hosszú (2:14.19), Hannah Miley (2:11.29) 
","great britain's hannah miley and hungary's katinka hosszú finished 7 and 8 with times of 2:11.29 and 2:14.19, respectively","katinka hosszú (2:14.19), hannah miley (2:11.29)",47.99999999999999,0.0
78,78,How did Judd do compared to Marc Murphy and Brendan Fevola in the 2008 Carlton Football Club season?,"Decompose to subquestions-  
sq1. What were the votes received by Chris Judd in the 2008 Carlton Football Club season? (independent)  
sq2. What were the votes received by Marc Murphy in the 2008 Carlton Football Club season? (independent)  
sq3. What were the votes received by Brendan Fevola in the 2008 Carlton Football Club season? (independent)  
sq4. How did Chris Judd's votes compare to those of Marc Murphy and Brendan Fevola? (depends on sq1, sq2, sq3)  

Answers:  
Answer to sq1: Chris Judd received 472 votes.  
Answer to sq2: Marc Murphy received 417 votes.  
Answer to sq3: Brendan Fevola received 373 votes.  
Answer to sq4: Chris Judd received more votes than both Marc Murphy and Brendan Fevola.  

Final answer: Chris Judd received 472 votes, while Marc Murphy received 417 votes and Brendan Fevola received 373 votes; Judd had the highest votes among the three.",Judd (472 votes) won ahead of Marc Murphy (417 votes) and Brendan Fevola (373 votes).,"Chris Judd had the most votes. 
",judd,judd,100.0,100.0
79,79,"What roles did Johanna Wokalek play in Silent Resident and North Face, respectively?","Decompose to subquestions-  
sq1. What role did Johanna Wokalek play in Silent Resident? (independent)  
sq2. What role did Johanna Wokalek play in North Face? (independent)  

Answers:  
Answer to sq1: Anna.  
Answer to sq2: Luise.  

Final Answer: Anna (Silent Resident) and Luise (North Face).  ",Johanna Wokalek played Anna in Silent Resident in 2007 and starred as Luise Fellner in North Face.,"Anna, Luise 
",johanna wokalek played anna in silent resident in 2007 and starred as luise fellner in north face,"anna, luise",21.052631578947366,0.0
80,80,W'hat country did Leandro de Oliveira represent at the 2011 World Cross Country Championships and how did he place?,"Decompose to subquestions-

sq1. What country did Leandro de Oliveira represent at the 2011 World Cross Country Championships? (independent)  
sq2. How did he place at the 2011 World Cross Country Championships? (independent)  

answers:  
Answer to sq1: Brazil  
Answer to sq2: 17th  

final_answer: Brazil, 17th.",Leandro de Oliveira represented Brazil at the 2011 World Cross Country Championships and placed 73rd in the 12 km race.,"Brazil, 17th 
",leandro de oliveira represented brazil at the 2011 world cross country championships and placed 73 in the 12 km race,"brazil, 17",10.0,0.0
81,81,Which British steamers did UB-16 sink in April 1916?,"Decompose to subquestions- 
sq1. Identify the rows that contain information about British steamers sunk by UB-16 in April 1916. (independent)
sq2. Extract the names of those British steamers from the relevant rows. (depends on sq1)

answers: |
  Answer to sq1: The relevant rows are:
    - 1 April 1916 | Perth | United Kingdom | 653 | Sunk
    - 10 April 1916 | Robert Adamson | United Kingdom | 2,978 | Sunk
    - 22 April 1916 | Tregantle | United Kingdom | 3,091 | Sunk
Answer to sq2: The names of the British steamers are Perth, Robert Adamson, and Tregantle.

final_answer: Perth, Robert Adamson, Tregantle.","UB-16 sank two British steamers: the 2,978-ton Robert Adamson on the 10thand the 3,091-ton Tregantle on the 22nd.","Perth, Robert Adamson, Tregantle 
","ub-16 sank 2 british steamers: the 2,978-ton robert adamson on the 10and the 3,091-ton tregantle on the 22","perth, robert adamson, tregantle",33.33333333333333,0.0
82,82,"How many ECHO Awards was Unheilig nominated for, what were they and how many did they win?","Decompose to subquestions-  
sq1. How many ECHO Awards was Unheilig nominated for? (independent)  
sq2. What were the ECHO Awards they were nominated for? (depends on sq1)  
sq3. How many ECHO Awards did Unheilig win? (independent)  

answers:  
Answer to sq1: Unheilig was nominated for 5 ECHO Awards.  
Answer to sq2: The ECHO Awards nominated for are:  
- Best Video National - ""Geboren um zu Leben"" (2011)  
- Echo Radio (2011)  
- Album of the Year 2010 - Große Freiheit (2011)  
- Bestes Video National - Wie wir waren (2013)  
- Album of the Year - Lichter Der Stadt (2013)  
Answer to sq3: Unheilig won 4 ECHO Awards.   

final_answer: Unheilig was nominated for 5 ECHO Awards (Best Video National - ""Geboren um zu leben"", Echo Radio, Album of the Year 2010 - Große Freiheit, Bestes Video National - Wie wir waren, Album of the Year - Lichter Der Stadt) and won 4.","In 2011, Unheilig was nominated for five ECHO Awards (Best Video National for Geboren um zu leben, ECHO Radio, Most Successful Production Team, Best National Rock/Alternative Group and Album of the Year for Große Freiheit) and won three.","5, 4 
","in 2011, unheilig was nominated for 5 echo awards (best video national for geboren um zu leben, echo radio, most successful production team, best national rock/alternative group and album of the year for große freiheit) and won 3","5, 4",5.128205128205129,0.0
83,83,Who placed in fifth and sixth place and with what times?,"Decompose to subquestions-  
sq1. Who placed in fifth and sixth place? (independent)  
sq2. What times did they achieve? (depends on sq1)  

answers:  
Answer to sq1: Ryan Cochrane placed fifth, and David Davies placed sixth.  
Answer to sq2: Ryan Cochrane's time was 14:42.69, and David Davies' time was 14:52.11.  

final_answer: Ryan Cochrane, 14:42.69; David Davies, 14:52.11.","U.S. swimmer Larsen Jensen, placed fifth with a time 14:48.16, and was followed in the sixth spot by Great Britain's David Davies in 14:52.11.","Ryan Cochrane, 14:42.69; David Davies, 14:52.11 
","u.s. swier larsen jensen, placed fifth with a time 14:48.16, and was followed in the 6 spot by great britain's david davies in 14:52.11","ryan cochrane, 14:42.69; david davies, 14:52.11",21.428571428571427,0.0
84,84,When and where did the Shinee World The Best 2018 start and end?,"Decompose to subquestions-
  
sq1. What date did the Shinee World The Best 2018 start? (independent)  
sq2. What city and country did the Shinee World The Best 2018 start in? (depends on sq1)  
sq3. What date did the Shinee World The Best 2018 end? (independent)  
sq4. What city and country did the Shinee World The Best 2018 end in? (depends on sq3)  

answers: |
  Answer to sq1: The Shinee World The Best 2018 started on February 17, 2018.  
  Answer to sq2: It started in Osaka, Japan.  
  Answer to sq3: The Shinee World The Best 2018 ended on February 27, 2018.  
  Answer to sq4: It ended in Tokyo, Japan.  

final_answer: Started on February 17, 2018, in Osaka, Japan; ended on February 27, 2018, in Tokyo, Japan.","Shinee's activities in Japan kicked off in Osaka Dome on February 17, 2018 and ended in Tokyo Dome on February 27, 2018.","February 17, 2018, Osaka, Japan; February 27, 2018, Tokyo, Japan 
","shinee's activities in japan kicked off in osaka dome on february 17, 2018 and ended in tokyo dome on february 27, 2018","february 17, 2018, osaka, japan; february 27, 2018, tokyo, japan",56.250000000000014,0.0
85,85,What were the highest-grossing films before January 14 after Martian?,"Decompose to subquestions- 
- sq1. Which film had the highest grossing before January 14, excluding The Martian? (independent)
- sq2. What was the box office gross for that film before January 14? (depends on sq1)

Answers:
- Answer to sq1: The Revenant had the highest grossing before January 14 after The Martian.
- Answer to sq2: The box office gross for The Revenant before January 14 was $54.1 million.

Final answer: The Revenant, $54.1 million.","Mad Max: Fury Road was the second-highest-grossing film with $153.6 million followed by The Revenant ($54.1 million), The Big Short ($44.6 million), and Spotlight ($28.8 million).","The Revenant, $54.1 million 
",mad max: fury road was the second-highest-grossing film with 153.6 followed by the revenant,"the revenant, 54.1",14.285714285714285,0.0
86,86,How did Keith Fraser do in the men's giant slalom after race 1?,"Decompose to subquestions- 
sq1. What was Keith Fraser's time in Race 1 of the men's giant slalom? (independent)
sq2. What was Keith Fraser's overall rank in the men's giant slalom? (depends on sq1)

answers: |
  Answer to sq1: Keith Fraser's time in Race 1 of the men's giant slalom was 1:21.93. 
  Answer to sq2: Keith Fraser's overall rank in the men's giant slalom was 63.

final_answer: 1:21.93, Rank 63.","Keith Fraser finished race 2 in a faster time of 1 minute and 19.83 seconds, which led him to the 63rd position.","1:21.93, Rank 63 
","keith fraser finished race 2 in a faster time of 1 minute and 19.83 seconds, which led him to the 63 position","1:21.93, rank 63",8.695652173913045,0.0
87,87,When did Gordon Hodgson join Liverpool and how many total career goals did he score with the club?,"Decompose to subquestions-  
sq1. In what season did Gordon Hodgson join Liverpool? (independent)  
sq2. How many total career goals did Gordon Hodgson score with Liverpool? (dependent on sq1)  

answers:  
Answer to sq1: Gordon Hodgson joined Liverpool in the 1925–26 season.  
Answer to sq2: He scored a total of 241 career goals with Liverpool.  

final_answer: 1925–26, 241 goals.","Hodgson joined Liverpool in 1925, scoring 241 goals for the club.","1925–26, 241 goals 
","hodgson joined liverpool in 1925, scoring 241 goals for the club","1925-26, 241 goals",30.769230769230766,0.0
88,88,What happened to the total appearances of Tsuneyasu Miyamoto in 2005 after 2004?,"Decompose to subquestions- 

sq1. What were Tsuneyasu Miyamoto's total appearances in 2004? (independent)  
sq2. What were Tsuneyasu Miyamoto's total appearances in 2005? (independent)  
sq3. What happened to the total appearances from 2004 to 2005? (depends on sq1 and sq2)  

answers: 
Answer to sq1: Total appearances in 2004: 25  
Answer to sq2: Total appearances in 2005: 36  
Answer to sq3: The total appearances increased from 25 in 2004 to 36 in 2005.  

final_answer: Increased by 11.","After 25 total appearances for Gamba Osaka in the 2004 J1 League season, Miyamoto appeared 36 times in the 2005 season.","Increased by 11. 
","after 25 total appearances for gamba osaka in the 2004 j1 league season, miyamoto appeared 36 times in the 2005 season",increased by 11,0.0,0.0
89,89,"Who succeeded Virgil Chapman in March 1951, and who succeeded them in 1952? ","Decompose to subquestions-  
sq1. Who succeeded Virgil Chapman in March 1951? (independent)  
sq2. Who succeeded the successor of Virgil Chapman in 1952? (depends on sq1)  

answers:  
Answer to sq1: Thomas R. Underwood (D)  
Answer to sq2: John S. Cooper (R)  

final_answer: Thomas R. Underwood (D) and John S. Cooper (R).","Virgil Chapman (D) was until March 8, 1951 and Thomas R. Underwood (D) is from March 19, 1951 until November 4, 1952 where John Sherman Cooper (R) is from November 5, 1952.","Thomas R. Underwood (D) and John S. Cooper (R) 
","virgil chapman (d) was until march 8, 1951 and thomas r. underwood (d) is from march 19, 1951 until november 4, 1952 where john sherman cooper (r) is from november 5, 1952",thomas r. underwood (d) and john s. cooper (r),39.02439024390244,0.0
90,90,Who won the 1992 Wellington Central by-election and by how many majority votes?,"Decompose to subquestions-  
sq1. Who won the 1992 Wellington Central by-election? (independent)  
sq2. By how many majority votes did the winning party win? (depends on sq1)  

answers:  
Answer to sq1: Chris Laidlaw won the by-election (Labour).  
Answer to sq2: The majority votes were 855.  

final_answer: Chris Laidlaw, 855.",The 1992 Wellington Central by-election was won by Chris Laidlaw with a majority of 855.,"Chris Laidlaw, 855 
",the 1992 wellington central by-election was won by chris laidlaw with a majority of 855,"chris laidlaw, 855",37.5,0.0
91,91,"What Grammy nominations and awards did ""Slither"" and ""Contraband"" get in 2005?","Decompose to subquestions-  
sq1. What nominations and awards did ""Slither"" receive in 2005? (independent)  
sq2. What nominations and awards did ""Contraband"" receive in 2005? (independent)  
sq3. Combine the results from sq1 and sq2 to provide a final answer. (depends on sq1 and sq2)  

answers:  
Answer to sq1: ""Slither"" received: Grammy Award for Best Hard Rock Performance (Won).  
Answer to sq2: ""Contraband"" received: Grammy Award for Best Rock Album (Nominated).  

final_answer: ""Slither"" won the Grammy Award for Best Hard Rock Performance, and ""Contraband"" was nominated for the Grammy Award for Best Rock Album.","Dave Kushner's Slither won the 2005 Grammy Award for Best Hard Rock Performance for ""Slither"" and he was nominated for Rock Album of the Year in 2005 for ""Contraband"".","""Slither"" won Best Hard Rock Performance, ""Contraband"" nominated for Best Rock Album 
",dave kushner's slither won the 2005 gray award for best hard rock performance for slither and he was nominated for rock album of the year in 2005 for contraband,"slither won best hard rock performance, contraband nominated for best rock album",56.41025641025641,0.0
92,92,How much money did Vale pay Stoke City for Jackie Mudie and Ron Wilson?,"Decompose to subquestions-  
sq1. What were the fees paid by Vale for Jackie Mudie? (independent)  
sq2. What were the fees paid by Vale for Ron Wilson? (independent)  
sq3. What is the total amount paid by Vale to Stoke City for both players? (depends on sq1, sq2)  

answers:  
Answer to sq1: £12,000  
Answer to sq2: £12,000  
Answer to sq3: £24,000  

final_answer: £24,000.","In November 1963, Vale paid Stoke City £12,000 for both Jackie Mudie (Scotland) and Ron Wilson (Scotland).","£24,000 
","in november 1963, vale paid stoke city £12,000 for both jackie mudie","£24,000",0.0,0.0
93,93,What were the achievements of Alex Yunevich during hit football career? ,"Decompose to subquestions-  
sq1. What teams did Alex Yunevich play for during his football career? (independent)  
sq2. What were the overall records of Alex Yunevich's teams? (depends on sq1)  
sq3. Did Alex Yunevich win any championships or titles? (depends on sq1)  

answers:  
Answer to sq1: Alex Yunevich played for Central State Bearcats and Alfred Saxons.  
Answer to sq2: Central State Bearcats: 9–13–1; Alfred Saxons: 177–85–12.  
Answer to sq3: Achievements include a total of 186–98–13 records across his career without specific championships indicated.  

final_answer: Played for Central State Bearcats (9–13–1) and Alfred Saxons (177–85–12); total record: 186–98–13.","Alex Yunevich served at Central State from 1934 to 1936 and at Alfred University from 1937 to 1976, compiling a career college football record of 186–98–13.","Played for Central State Bearcats and Alfred Saxons. 
","alex yunevich served at central state from 1934 to 1936 and at alfred university from 1937 to 1976, compiling a career college football record of 186-98-13",played for central state bearcats and alfred saxons,24.242424242424242,0.0
94,94,"When Gerry Fitt (Independent) lost his Members of Parliament seat, and who won it?","Decompose to subquestions-  
sq1. In which year did Gerry Fitt lose his seat as a Member of Parliament and what party was he affiliated with at that time? (independent)  
sq2. Who won the seat after Gerry Fitt? (depends on sq1)  

Answers:  
Answer to sq1: Gerry Fitt lost his seat in 1983 as an Independent.  
Answer to sq2: The seat was won by Gerry Adams from Sinn Féin in 1983.  

Final answer: 1983, Gerry Adams (Sinn Féin).","Gerry Fitt an independent, lost his Members of Parliament seat in 1983 and was won by Gerry Adams of Sinn Féin.","1983, Gerry Adams (Sinn Féin) 
","gerry fitt an independent, lost his members of parliament seat in 1983 and was won by gerry adams of sinn féin","1983, gerry adams (sinn féin)",40.0,0.0
95,95,"In the 1947 Tour De France, how many stages did the course consist of and what was the total course distance?","Decompose to subquestions-

sq1. How many stages were in the 1947 Tour de France? (independent)  
sq2. What was the total course distance for the 1947 Tour de France? (independent)  

answers: |
    Answer to sq1: The course consisted of 21 stages.  
    Answer to sq2: The total course distance was 4,642 km (2,884 mi).  

final_answer: 21 stages, 4,642 km (2,884 mi).","The 1947 Tour de France total race distance was 21 stages over 4,642 km (2,884 mi).","21 stages, 4,642 km 
","the 1947 tour de france total race distance was 21 stages over 4,642 km","21 stages, 4,642 km",47.05882352941176,0.0
96,96,What roles did Nathan Pelle play in 2012?,"Decompose to subquestions-  
sq1. Identify the rows that contain information about Nathan Pelle's roles in 2012. (independent)  
sq2. Extract the titles and roles from the relevant rows. (depends on sq1)  

answers:  
Answer to sq1: The relevant rows are:  
- 2012 | CSI: Miami | Bryce | Episode: ""No Good Deed""  
- 2012 | 90210 | Calvin | Episode: ""99 Problems""  
- 2012 | Pair of Kings | Rikki Smooth | Episode: 2 episodes  

Answer to sq2: In 2012, Nathan Pelle played the roles of Bryce in CSI: Miami, Calvin in 90210, and Rikki Smooth in Pair of Kings.  

final_answer: Bryce in CSI: Miami, Calvin in 90210, Rikki Smooth in Pair of Kings.","Nathan Pelle acted on the TV as Rikki Smooth in the Pair of Kings, Bryce as CSI: Miami, and as Calvin in the 2012 90210.","Bryce in CSI: Miami, Calvin in 90210, Rikki Smooth in Pair of Kings. 
","nathan pelle acted on the tv as rikki smooth in the pair of kings, bryce as csi: miami, and as calvin in the 2012 90210","bryce in csi: miami, calvin in 90210, rikki smooth in pair of kings",68.57142857142856,0.0
97,97,How was the The Ade of Ads promoted?,"decomposition: |
  sq1. What songs are included in the album ""The Age of Adz""? (independent)
  sq2. Identify the promotional activities, if any, for the songs from ""The Age of Adz"". (depends on sq1)

answers: |
  Answer to sq1: The songs included in the album ""The Age of Adz"" are:
    - ""I Walked""
    - ""Too Much""
  Answer to sq2: No promotional activities or information on promotions for the album ""The Age of Adz"" are provided in the table.

final_answer: No specific promotion details available for ""The Age of Adz"".","In the Sufjan Stevens discography, in 2010, The Age of Adz was promoted by ""I Walked"" and ""Too Much"".","Not enough information provided. 
","in the sufjan stevens discography, in 2010, the age of adz was promoted by i walked and too much",not enough information provided,0.0,0.0
98,98,For what club and division was Gelson a player in the 1962–63 season?,"Decompose to subquestions- 

sq1. What club did Peter Gelson play for in the 1962–63 season? (independent)  
sq2. What division was that club in during the same season? (depends on sq1)  

answers:  
Answer to sq1: Brentford  
Answer to sq2: Fourth Division  

final_answer: Brentford, Fourth Division.",Gelson was a player in Brentford's Fourth Division in the 1962–63 season.,"Brentford, Fourth Division 
",gelson was a player in brentford's 4 division in the 1962-63 season,"brentford, 4 division",30.769230769230766,0.0
99,99,What were the names and vote differential between the top two candidates in the 2009 Narla election?,"Decompose to subquestions-

sq1. Who were the top two candidates in the 2009 Narla election? (independent)  
sq2. What were the votes received by each of the top two candidates? (depends on sq1)  
sq3. What is the vote differential between the top two candidates? (depends on sq2)  

answers: |  
Answer to sq1: The top two candidates were Bhupinder Singh and Srikant Hota.  
Answer to sq2: Bhupinder Singh received 49,748 votes, and Srikant Hota received 22,236 votes.  
Answer to sq3: The vote differential between Bhupinder Singh and Srikant Hota is 27,512 votes.  

final_answer: Bhupinder Singh and Srikant Hota, 27,512 votes.","In the 2009 election, INC candidate Bhupinder Singh defeated BJP candidate Srikant Hota by a margin of 27,512 votes.","Bhupinder Singh, Srikant Hota, 27,512 votes 
","in the 2009 election, inc candidate bhupinder singh defeated bjp candidate srikant hota by a margin of 27,512 votes","bhupinder singh, srikant hota, 27,512 votes",52.17391304347826,0.0
100,100,What roles did Seth Gilliam have from 1996-1997?,"Decompose to subquestions-  
sq1. What roles did Seth Gilliam have in 1996? (independent)  
sq2. What roles did Seth Gilliam have in 1997? (independent)  
sq3. Combine the roles from sq1 and sq2. (depends on sq1, sq2)  

answers:  
Answer to sq1: In 1996, Seth Gilliam had the role of Altameyer in ""Courage Under Fire.""  
Answer to sq2: In 1997, Seth Gilliam had the roles of Sugar Watkins in ""Starship Troopers"" and Tyrone in ""Tar.""  
Answer to sq3: Altameyer in ""Courage Under Fire,"" Sugar Watkins in ""Starship Troopers,"" and Tyrone in ""Tar.""  

final_answer: Altameyer in ""Courage Under Fire,"" Sugar Watkins in ""Starship Troopers,"" and Tyrone in ""Tar.""",Seth Gilliam played Sugar Watkins in the 1997 film Starship Troopers and as Altameyer in the 1996 film Courage Under Fire.,"Altameyer, Sugar Watkins, Tyrone 
",seth gilliam played sugar watkins in the 1997 film starship troopers and as altameyer in the 1996 film courage under fire,"altameyer, sugar watkins, tyr1",26.08695652173913,0.0
101,101,"How did Jacqueline Pusey perform in the 1976, 1977, and 1978 CARIFTA Games?","Decompose to subquestions-  
sq1. What positions did Jacqueline Pusey achieve in the 1976 CARIFTA Games? (independent)  
sq2. What positions did Jacqueline Pusey achieve in the 1977 CARIFTA Games? (independent)  
sq3. What positions did Jacqueline Pusey achieve in the 1978 CARIFTA Games? (independent)  
sq4. Combine the results from sq1, sq2, and sq3 to summarize her performance in the 1976, 1977, and 1978 CARIFTA Games. (depends on sq1, sq2, sq3)  

Answers:  
Answer to sq1: 2nd in 100 m, 2nd in 200 m, 1st in 4 × 400 m relay.  
Answer to sq2: 1st in 400 m.  
Answer to sq3: 1st in 200 m, 1st in 400 m, 1st in 4 × 100 m relay, 1st in 4 × 400 m relay.  
Answer to sq4: In the 1976 CARIFTA Games, she placed 2nd in 100 m and 200 m, and 1st in 4 × 400 m relay; in 1977, she placed 1st in 400 m; in 1978, she placed 1st in 200 m, 400 m, 4 × 100 m relay, and 4 × 400 m relay.  

Final answer: 1976: 2nd in 100 m, 2nd in 200 m, 1st in 4 × 400 m relay; 1977: 1st in 400 m; 1978: 1st in 200 m, 1st in 400 m, 1st in 4 × 100 m relay, 1st in 4 × 400 m relay.","Jacqueline Pusey was the 100/200 m runner-up at the 1976 CARIFTA Games, won the 400 m at the 1977 CARIFTA Games, a quadruple gold medal win at the 1978 CARIFTA Games where she won the 200 m, 400 m, and both relays.","1976: 2nd in 100m, 2nd in 200m, 1st in 4x400m relay; 1977: 1st in 400m; 1978: 1st in 200m, 1st in 400m, 1st in 4x100m relay, 1st in 4x400m relay 
","jacqueline pusey was the 100/200 m runner-up at the 1976 carifta games, won the 400 m at the 1977 carifta games, a quadruple gold medal win at the 1978 carifta games where she won the 200 m, 400 m, and both relays","1976: 2 in 100m, 2 in 200m, 1 in 4x400m relay; 1977: 1 in 400m; 1978: 1 in 200m, 1 in 400m, 1 in 4x100m relay, 1 in 4x400m relay",9.230769230769232,0.0
102,102,"Who won the 2009 Election, by what margin?","Decompose to subquestions-  
sq1. Who was the winning candidate in the 2009 Election? (independent)  
sq2. What was the total number of votes for the winning candidate? (depends on sq1)  
sq3. What was the number of votes for the runner-up candidate? (depends on sq1)  
sq4. What is the margin of victory between the winning candidate and the runner-up? (depends on sq2, sq3)  

Answers-  
Answer to sq1: Pramod Kumar Mallick (BJD) won the 2009 Election.  
Answer to sq2: Pramod Kumar Mallick received 90,058 votes.  
Answer to sq3: The runner-up, Artratrana Malik (INC), received 40,005 votes.  
Answer to sq4: The margin of victory is 90,058 - 40,005 = 50,053 votes.  

Final answer: Pramod Kumar Mallick won the 2009 Election by a margin of 50,053 votes.","In the 2009 election, Biju Janata Dal candidate Pramod Kumar Mallick defeated Indian National Congress candidate Artratrana Malik by a margin of 50,653 votes.","Pramod Kumar Mallick, 50,053 votes 
","in the 2009 election, biju janata dal candidate pramod kumar mallick defeated indian national congress candidate artratrana malik by a margin of 50,653 votes","pramod kumar mallick, 50,053 votes",29.629629629629626,0.0
103,103,What movies did Randall Park play in 2014? What roles did he play?,"Decompose to subquestions-
- sq1. What movies did Randall Park play in 2014? (independent)
- sq2. What roles did he play in those movies? (depends on sq1)

answers: |
  Answer to sq1: Randall Park played in Neighbors, Sex Tape, They Came Together, and The Interview in 2014.
  Answer to sq2: He played the roles of Rep in Neighbors, Edward in Sex Tape, Martinson in They Came Together, and Kim Jong-un in The Interview.

final_answer: Neighbors (Rep), Sex Tape (Edward), They Came Together (Martinson), The Interview (Kim Jong-un).","In 2014, Randall Park played a role of Rep in ""Neighbors"" and starred in ""Sex Tape"" as Edward, he also played Martinson in ""They Came Together"" and played the role of Kim Jong-un in ""The Interview"".","Neighbors (Rep), Sex Tape (Edward), They Came Together (Martinson), The Interview (Kim Jong-un) 
","in 2014, randall park played a role of rep in neighbors and starred in sex tape as edward, he also played martinson in they came together and played the role of kim jong-un in the interview","neighbors (rep), sex tape (edward), they came together (martinson), the interview (kim jong-un)",53.333333333333336,0.0
104,104,Did Laverne Cox ever appear as herself in any works?,"Decompose to subquestions-  
sq1. What roles did Laverne Cox play as herself in the table? (independent)  
sq2. Did she appear as herself in any works based on the roles identified in sq1? (depends on sq1)  

answers:  
Answer to sq1: Laverne Cox appeared as herself in the following works:  
- I Want to Work for Diddy  
- TRANSform Me  
- Lip Sync Battle  

Answer to sq2: Yes, she appeared as herself in multiple works.  

final_answer: Yes, Laverne Cox appeared as herself in ""I Want to Work for Diddy,"" ""TRANSform Me,"" and ""Lip Sync Battle.""","Laverne Cox appeared as herself in I Want to Work for Diddy (2008), TRANSform Me (2010), and Lip Sync Battle (2016-2019).","Yes 
",laverne cox appeared as herself in i want to work for diddy,yes,0.0,0.0
105,105,"Which countries came in first and second during the 1958 Eisenhower Trophy, and what were their respective scores?","Decompose to subquestions-  
sq1. Which country came in first during the 1958 Eisenhower Trophy? (independent)  
sq2. What was the score of the country that came in first? (depends on sq1)  
sq3. Which country came in second during the 1958 Eisenhower Trophy? (independent)  
sq4. What was the score of the country that came in second? (depends on sq3)  

answers:  
Answer to sq1: Australia came in first.  
Answer to sq2: The score of Australia was 918.  
Answer to sq3: The United States came in second.  
Answer to sq4: The score of the United States was also 918.  

final_answer: Australia (918) and United States (918).","Australia won the Eisenhower Trophy, beating the United States by 222 to 224, in a playoff after both teams had finished on 918.","Australia (918), United States (918) 
","australia won the eisenhower trophy, beating the united states by 222 to 224, in a playoff after both teams had finished on 918","australia (918), united states (918)",32.00000000000001,0.0
