Unnamed: 0.1,Unnamed: 0,index,question,response,answer,extracted_code,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
253,253,253,"what percentage of scheduled maturities of total debt at december 31 , 2001 are due in 2002?","```python
# 1. What is the total debt scheduled to mature at December 31, 2001? (independent, support=[2002 | $ 2672, 2003 | 2323, 2004 | 1255, 2005 | 1819, 2006 | 1383, thereafter | 12806, total | $ 22258])
total_debt_2001 = 22258

# 2. What is the amount of debt due in 2002? (independent, support=[2002 | $ 2672, 2003 | 2323, 2004 | 1255, 2005 | 1819, 2006 | 1383, thereafter | 12806, total | $ 22258])
debt_2002 = 2672

# 3. What percentage of scheduled maturities of total debt at December 31, 2001 are due in 2002? (depends on 1 and 2, support=[])
percentage_debt_2002 = (debt_2002 / total_debt_2001) * 100
print(percentage_debt_2002)
#DONE
```",12%,2,"12.004672477311528
",0.12,0.12,100.0,100.0
254,254,254,"without employee severance costs in 2004 and 2005 , what would have been the increase in net income in millions?\\n\\n","```python
# 1. What were the total employee severance costs in 2004 and 2005?
severance_costs_2004 = 2984  # in thousands
severance_costs_2005 = 5236  # in thousands

# 2. What would have been the total employee severance costs without costs in 2004 and 2005?
adjusted_severance_costs = 3052  # balance as of september 30, 2004

# 3. What was the difference in severance costs between the actual costs and adjusted costs?
severance_costs_difference = (severance_costs_2004 + severance_costs_2005) - adjusted_severance_costs

# 4. What were the total lease cancellation costs and other expenses in 2004 and 2005?
other_costs_2004 = 68  # in thousands
other_costs_2005 = 7083  # in thousands

# 5. What would have been the total lease cancellation costs and other expenses without costs in 2004 and 2005?
adjusted_other_costs = 81  # balance as of september 30, 2003

# 6. What was the difference in other costs between the actual costs and adjusted costs?
other_costs_difference = (other_costs_2004 + other_costs_2005) - adjusted_other_costs

# 7. What was the total increase in net income without employee severance costs in 2004 and 2005?
net_income_increase = severance_costs_difference + other_costs_difference  # in million dollars
print(net_income_increase / 1000)  # Converting from thousands to million
# Output will be in million dollars
```
",18.7,2,"12.238
",18.7,12.238,0.0,0.0
255,255,255,what is the 2019 to 2020 projected growth rate for capital lease payments?,"```python
# 1. What is the capital lease payment in 2019?
capital_lease_2019 = 148  # in millions (independent, support=[millions | operatingleases | capitalleases, 2019 | $ 419 | $ 148, 2020 | 378 | 155, 2021 | 303 | 159, 2022 | 272 | 142, 2023 | 234 | 94, later years | 1040 | 200, total minimum lease payments | $ 2646 | $ 898, amount representing interest | n/a | -144 ( 144 ), present value of minimum lease payments | n/a | $ 754])
# 2. What is the capital lease payment in 2020?
capital_lease_2020 = 155  # in millions (independent, support=[millions | operatingleases | capitalleases, 2019 | $ 419 | $ 148, 2020 | 378 | 155, 2021 | 303 | 159, 2022 | 272 | 142, 2023 | 234 | 94, later years | 1040 | 200, total minimum lease payments | $ 2646 | $ 898, amount representing interest | n/a | -144 ( 144 ), present value of minimum lease payments | n/a | $ 754])
# 3. What is the projected growth rate for capital lease payments from 2019 to 2020?
growth_rate = ((capital_lease_2020 - capital_lease_2019) / capital_lease_2019) * 100
print(growth_rate)
# DONE
```",4.8%,2,"4.72972972972973
",0.048,4.72972972972973,0.0,0.0
256,256,256,what is the percent change in expected volatility between 2012 and 2013?,"```python
# 1. What is the expected volatility in 2012?
expected_volatility_2012 = 24.0  # in percent (independent, support=[expected volatility | 21.7% ( 21.7 % ) | 22.1% ( 22.1 % ) | 24.0% ( 24.0 % ), - | 2014 | 2013 | 2012])
# 2. What is the expected volatility in 2013?
expected_volatility_2013 = 22.1  # in percent (independent, support=[expected volatility | 21.7% ( 21.7 % ) | 22.1% ( 22.1 % ) | 24.0% ( 24.0 % ), - | 2014 | 2013 | 2012])
# 3. What is the percent change in expected volatility between 2012 and 2013? (depends on 1 and 2, support=[])
percent_change_expected_volatility = ((expected_volatility_2013 - expected_volatility_2012) / expected_volatility_2012) * 100
print(percent_change_expected_volatility)
#DONE
```",-8.7%,2,"-7.916666666666661
",-0.087,-7.916666666666661,0.0,0.0
257,257,257,"as of december 2012 what is the ratio of the square footage in alpharetta , georgia to jersey city new jersey","```python
# 1. What is the square footage in Alpharetta, Georgia as of December 2012? (independent, support=[location | approximate square footage])
square_footage_alpharetta = 254000

# 2. What is the square footage in Jersey City, New Jersey as of December 2012? (independent, support=[location | approximate square footage])
square_footage_jersey_city = 107000

# 3. What is the ratio of the square footage in Alpharetta, Georgia to Jersey City, New Jersey as of December 2012? (depends on 1 and 2, support=[])
ratio = square_footage_alpharetta / square_footage_jersey_city
print(ratio)
# DONE
```",2.37,2,"2.3738317757009346
",2.37,2.37,100.0,100.0
258,258,258,what was the percentage decrease in the weighted average interest rates on outstanding borrowings from 2010 to 2011,"```python
# To calculate the percentage decrease in the weighted average interest rates on outstanding borrowings from 2010 to 2011, we need the following steps:

# 1. What was the weighted average interest rate on outstanding borrowings in 2010?
weighted_avg_interest_rate_2010 = 5.3  # in percent (independent, support=[the weighted average interest rates on outstanding borrowings were 3.5% ( 3.5 % ) , 5.3% ( 5.3 % ) and 5.9% ( 5.9 % ) for the years ended december 31 , 2011 , 2010 and 2009, respectively])

# 2. What was the weighted average interest rate on outstanding borrowings in 2011?
weighted_avg_interest_rate_2011 = 3.5  # in percent (independent, support=[the weighted average interest rates on outstanding borrowings were 3.5% ( 3.5 % ) , 5.3% ( 5.3 % ) and 5.9% ( 5.9 % ) for the years ended december 31 , 2011 , 2010 and 2009, respectively])

# 3. Calculate the percentage decrease in weighted average interest rates on outstanding borrowings from 2010 to 2011
decrease_in_interest_rate = weighted_avg_interest_rate_2010 - weighted_avg_interest_rate_2011
percentage_decrease = (decrease_in_interest_rate / weighted_avg_interest_rate_2010) * 100

print(percentage_decrease)
#DONE
```",-34%,2,"33.9622641509434
",-0.34,33.9622641509434,0.0,0.0
259,259,259,"what percentage of factory retail stores as of march 29 , 2008 where located in europe?","```python
# 1. How many factory retail stores were located in Europe as of March 29, 2008? (independent, support=[location | ralph lauren])
stores_in_europe = 22

# 2. What was the total number of factory retail stores as of March 29, 2008? (independent, support=[location | ralph lauren])
total_stores = 158

# 3. Calculate the percentage of factory retail stores located in Europe as of March 29, 2008 (depends on 1 and 2, support=[])
percentage_in_europe = (stores_in_europe / total_stores) * 100

print(percentage_in_europe)
#DONE
```",14%,2,"13.924050632911392
",0.14,0.14,100.0,100.0
260,260,260,"for home equity unresolved asserted indemnification and repurchase claims in millions , what was the change between december 31 2012 and december 31 2011?\\n\\n\\n\\n","```python
# What was the amount of unresolved asserted indemnification and repurchase claims in millions on December 31, 2011?
claims_2011 = 110  # in millions (independent, support=[home equity loans/lines: |  | private investors ( a ) | $ 74 | $ 110])

# What was the amount of unresolved asserted indemnification and repurchase claims in millions on December 31, 2012?
claims_2012 = 74  # in millions (independent, support=[home equity loans/lines: |  | private investors ( a ) | $ 74 | $ 110])

# What was the change in unresolved asserted indemnification and repurchase claims in millions from December 31, 2011 to December 31, 2012?
change = claims_2012 - claims_2011

print(change)
# DONE
```",-36,2,"-36
",-36.0,-36.0,100.0,100.0
261,261,261,how bigger were the interest and penalties concerning the interest income in the year 2015?,"```python
# 1. What was the balance at the end of the year 2014?
balance_2014 = 35  # in dollars (independent, support=[balance at beginning of year | $ 35 | $ 63 | $ 66, balance at end of year | $ 43 | $ 35 | $ 63])

# 2. What were the reductions for tax positions of prior years in 2014?
reductions_2014 = -2  # in dollars (independent, support=[reductions for tax positions of prior years | -2 ( 2 ) | -4 ( 4 ) | -2 ( 2 )])

# 3. How much bigger were the interest and penalties concerning the interest income in the year 2015?
interest_penalties_2015 = balance_2014 + reductions_2014
print(interest_penalties_2015)
#DONE
```",300%,2,"33
",3.0,33.0,0.0,0.0
262,262,262,what is the difference between the statutory u.s . rate and the effective income tax rate in 2017?,"```python
# What is the statutory U.S. rate in 2017?
statutory_us_rate_2017 = 35.0  # in percent (independent, support=[2017 | 2016 | 2015])

# What is the effective income tax rate in 2017?
effective_income_tax_rate_2017 = 13.7  # in percent (independent, support=[effective income tax rate | 13.7% ( 13.7 % ) | 24.4% ( 24.4 % ) | 22.8% ( 22.8 % )])

# What is the difference between the statutory U.S. rate and the effective income tax rate in 2017?
difference_2017 = statutory_us_rate_2017 - effective_income_tax_rate_2017
print(difference_2017)
# DONE
```",21.3%,2,"21.3
",0.213,0.213,100.0,100.0
263,263,263,"what is the total amount , in millions of dollars , outstanding in 2009?","```python
# 1. What is the amount outstanding for notes payable in 2009? (independent, support=[outstanding as of may 31 2009 ( in millions ), notes payable due at mutually agreed-upon dates within one year of issuance or on demand])
notes_payable = 342.9
# 2. What is the amount outstanding for payable to Sojitz America in 2009? (independent, support=[outstanding as of may 31 2009 ( in millions ), payable to Sojitz America for the purchase of inventories generally due 60 days after shipment of goods from a foreign port])
payable_to_sojitz = 78.5
# 3. What is the total amount outstanding in 2009? (depends on 1 and 2, support=[])
total_outstanding_2009 = notes_payable + payable_to_sojitz
print(total_outstanding_2009)
# DONE
```",421.4,2,"421.4
",421.4,421.4,100.0,100.0
264,264,264,what is the anualized return for cme group from 2012 to 2017?,"```python
# 1. What was the stock price for CME Group Inc. in 2012?
stock_price_2012 = 100  # Initial investment of $100 (independent, support=[cme group inc . | $ 164.01 | $ 194.06 | $ 208.95 | $ 279.85 | $ 370.32, s&p 500 | 132.39 | 150.51 | 152.59 | 170.84 | 208.14, peer group | 176.61 | 187.48 | 219.99 | 249.31 | 323.23])

# 2. What was the stock price for CME Group Inc. in 2017?
stock_price_2017 = 370.32  # Closing stock price in 2017 (independent, support=[cme group inc . | $ 164.01 | $ 194.06 | $ 208.95 | $ 279.85 | $ 370.32, s&p 500 | 132.39 | 150.51 | 152.59 | 170.84 | 208.14, peer group | 176.61 | 187.48 | 219.99 | 249.31 | 323.23])

# 3. Calculate the annualized return for CME Group Inc. from 2012 to 2017
years = 2017 - 2012  # Number of years
annualized_return = ((stock_price_2017 / stock_price_2012) ** (1/years)) - 1

print(annualized_return)
#DONE
```",22%,2,"0.2993179359733882
",0.22,0.2993179359733882,0.0,0.0
265,265,265,what was the ratio of the company contribution to the us qualified and non-qualified pension benefits for 2015 compared to 2014,"```python
# 1. What was the company contribution to the US qualified and non-qualified pension benefits for 2014?
company_contribution_2014 = 264  # in millions (independent, support=[2016 benefit payments | $ 987 | $ 205 | $ 141, 2018 benefit payments | 1008 | 228 | 172, ...])
# 2. What was the company contribution to the US qualified and non-qualified pension benefits for 2015?
company_contribution_2015 = 210  # in millions (independent, support=[2016 benefit payments | $ 987 | $ 205 | $ 141, 2018 benefit payments | 1008 | 228 | 172, ...])
# 3. What was the ratio of the company contribution to the US qualified and non-qualified pension benefits for 2015 compared to 2014?
ratio = company_contribution_2015 / company_contribution_2014
print(ratio)
#DONE
```",1.26,2,"0.7954545454545454
",1.26,0.7954545454545454,0.0,0.0
266,266,266,what is the growth rate in total financial liabilities at fair value in 2013?,"```python
# 1. What are the total financial liabilities at fair value in 2013?
total_liabilities_2013 = 355173  # in millions (independent, support=[total financial assets at fair value | $ 600173 | $ 638513, total financial liabilities at fair value | $ 355173 | $ 377677])

# 2. What are the total financial liabilities at fair value in 2012?
total_liabilities_2012 = 377677  # in millions (independent, support=[total financial assets at fair value | $ 600173 | $ 638513, total financial liabilities at fair value | $ 355173 | $ 377677])

# 3. Calculate the growth rate in total financial liabilities at fair value in 2013. (depends on 1 and 2, support=[])
growth_rate = ((total_liabilities_2013 - total_liabilities_2012) / total_liabilities_2012) * 100
print(growth_rate)
#DONE
```",-6.0%,2,"-5.958530702160841
",-0.06,-0.06,100.0,100.0
267,267,267,what was the percentage change in level 3 financial assets from 2016 to 2017 in millions?,"```python
# 1. What was the total level 3 financial assets in 2016? (independent, support=[$ in millions | as of december 2017 | as of december 2016])
total_assets_2016 = 23280
# 2. What was the total level 3 financial assets in 2017? (independent, support=[$ in millions | as of december 2017 | as of december 2016])
total_assets_2017 = 19201
# 3. What is the change from 2016 to 2017? (depends on 1 and 2, support=[])
change = total_assets_2016 - total_assets_2017
# 4. What is the percentage change in level 3 financial assets from 2016 to 2017 in millions? (depends on 1 and 3, support=[])
percent_change = (change / total_assets_2016) * 100
print(percent_change)
#DONE
```",-18%,2,"17.52147766323024
",-0.18,17.52147766323024,0.0,0.0
268,268,268,for the quarter ended december 312010 what was percent of the total number of shares purchased in november,"```python
# 1. What was the total number of shares purchased in November 2010? (independent, support=[total | 3063816 | $ 89.66 | 2500596 | n/a])
shares_purchased_nov = 1205260
# 2. What was the total number of shares purchased in the quarter ending December 31, 2010? (independent, support=[total | 3063816 | $ 89.66 | 2500596 | n/a])
total_shares_purchased = 3063816
# 3. What was the percentage of the total number of shares purchased in November out of the total for the quarter ending December 31, 2010? (depends on 1 and 2, support=[])
percent_shares_purchased_nov = (shares_purchased_nov / total_shares_purchased) * 100
print(percent_shares_purchased_nov)
#DONE
```",39.3%,2,"39.33852424558133
",0.39299999999999996,0.39299999999999996,100.0,100.0
269,269,269,is the weighted average useful life ( years ) for purchased technology greater than localization?,"```python
# 1. What is the weighted average useful life (years) for purchased technology?
purchased_technology_life = 4  # in years (independent, support=[purchased technology | 4, localization | 1, trademarks | 5, customer contracts and relationships | 6, other intangibles | 3])
# 2. What is the weighted average useful life (years) for localization?
localization_life = 1  # in years (independent, support=[purchased technology | 4, localization | 1, trademarks | 5, customer contracts and relationships | 6, other intangibles | 3])
# 3. Is the weighted average useful life (years) for purchased technology greater than localization? (depends on 1 and 2, support=[])
ans = purchased_technology_life > localization_life
print(ans)
# DONE
```",yes,2,"True
",yes,true,0.0,0.0
270,270,270,what was the percentual decrease observed in the liabilities for accrued interest and penalties during 2012 and 2013?,"```python
# 1. What was the liabilities for accrued interest and penalties in 2012?
liabilities_2012 = 4425  # in million dollars (independent, support=[balance january 1 | $ 4425 | $ 4277 | $ 4919, balance december 31 | $ 3503 | $ 4425 | $ 4277])

# 2. What was the liabilities for accrued interest and penalties in 2013?
liabilities_2013 = 3503  # in million dollars (independent, support=[balance january 1 | $ 4425 | $ 4277 | $ 4919, balance december 31 | $ 3503 | $ 4425 | $ 4277])

# 3. What was the percentual decrease observed in the liabilities for accrued interest and penalties during 2012 and 2013?
percentual_decrease = ((liabilities_2012 - liabilities_2013) / liabilities_2012) * 100
print(percentual_decrease)
#DONE
```",44.59%,2,"20.836158192090394
",0.4459,20.836158192090394,0.0,0.0
271,271,271,"what was the percentage change in total rental expense under operating leases from july 1 , 2006 to july 2 , 2007?","```python
# 1. What was the total rental expense under operating leases in fiscal 2006? (independent, support=[total rental expense under operating leases was $ 100690000 , $ 92710000 , and $ 86842000 in fiscal 2006 , 2005 and 2004 respectively])
rental_expense_2006 = 100690000
# 2. What was the total rental expense under operating leases in fiscal 2007? (independent, support=[total rental expense under operating leases was $ 100690000 , $ 92710000 , and $ 86842000 in fiscal 2006 , 2005 and 2004 respectively, Table])
rental_expense_2007 = 56499000
# 3. What was the percentage change in total rental expense under operating leases from 2006 to 2007? (depends on 1 and 2, support=[])
change = rental_expense_2007 - rental_expense_2006
percentage_change = (change / rental_expense_2006) * 100
print(percentage_change)
#DONE
```",9%,2,"-43.88817161585063
",0.09,-43.88817161585063,0.0,0.0
272,272,272,what is the ratio of the respirator mask/asbestos receivables to respirator mask/asbestos liabilities in 2007,"```python
# 1. What are the respirator mask/asbestos receivables in 2007?
respirator_mask_asb_receivables_2007 = 332  # in millions (independent, support=[respirator mask/asbestos receivables | 332 | 380 | 447])
# 2. What are the respirator mask/asbestos liabilities in 2007?
respirator_mask_asb_liabilities_2007 = 121  # in millions (independent, support=[respirator mask/asbestos liabilities | $ 121 | $ 181 | $ 210])
# 3. What is the ratio of respirator mask/asbestos receivables to respirator mask/asbestos liabilities in 2007? (depends on 1 and 2, support=[])
ratio_2007 = respirator_mask_asb_receivables_2007 / respirator_mask_asb_liabilities_2007
print(ratio_2007)
# DONE
```",2.74,2,"2.743801652892562
",2.74,2.74,100.0,100.0
273,273,273,what was the ratio of the value of the common stock masco to s&p 500 index in 2015,"```python
# 1. What was the value of Masco common stock in 2015? (independent, support=[| 2013 | 2014 | 2015 | 2016 | 2017])
masco_value_2015 = 200.79
# 2. What was the value of S&P 500 index in 2015? (independent, support=[| 2013 | 2014 | 2015 | 2016 | 2017])
sp500_value_2015 = 151.94
# 3. What is the ratio of the value of Masco common stock to S&P 500 index in 2015? (depends on 1 and 2, support=[])
ratio_2015 = masco_value_2015 / sp500_value_2015
print(ratio_2015)
#DONE
```",1.32,2,"1.3215084901934975
",1.32,1.32,100.0,100.0
274,274,274,what amount of interest expense was avoided per year by switching the 201c4.50% ( 201c4.50 % ) notes 201d with the 201c4.25% ( 201c4.25 % ) notes 201d?,"```python
# 1. What was the interest expense per year for the 4.50% notes before switching? (independent, support=[2007 | $ 2.6, 20081 | 2.8, 2009 | 257.0, 2010 | 240.9, 2011 | 500.0, thereafter | 1247.9, total long-term debt | $ 2251.2])
interest_expense_4.50_notes = 500.0  # 2011 amount for the 4.50% notes
# 2. What was the interest expense per year for the 4.25% notes after switching? (independent, support=[2007 | $ 2.6, 20081 | 2.8, 2009 | 257.0, 2010 | 240.9, 2011 | 500.0, thereafter | 1247.9, total long-term debt | $ 2251.2])
interest_expense_4.25_notes = 500.0  # Assuming the interest expense for the 4.25% notes remains the same as for the 4.50% notes
# 3. What is the amount of interest expense avoided per year by switching from 4.50% to 4.25% notes? (depends on 1 and 2, support=[])
interest_expense_avoided = interest_expense_4.50_notes - interest_expense_4.25_notes
print(interest_expense_avoided)

```",1000000,2,ERROR,1000000.0,error,0.0,0.0
275,275,275,"as of december 31 , 2008 , what percentage of authorized repurchase capacity remained under the current stock repurchase program ?:","```python
# 1. What is the common dividend payout ratio in 2008?
dividend_payout_ratio_2008 = 114  # in percent (independent, support=[year ended december 31, | 2008 | 2007 | 2006, common dividend payout ratio | 114% ( 114 % ) | 34% ( 34 % ) | 34% ( 34 % )])
# 2. What percentage of authorized repurchase capacity was used for dividends in 2008?
dividend_used = 100  # 100% dividend paid (independent, support=[])
# 3. What percentage of authorized repurchase capacity remained under the current stock repurchase program in 2008?
capacity_remaining = 100 - dividend_used  # Remaining capacity after dividends
print(capacity_remaining)
# DONE
```",62%,2,"0
",0.62,0.0,0.0,0.0
276,276,276,what is the net change in the balance of liability related to employee separations during 2006?,"```python
# 1. What was the liability balance related to employee separations as of December 31, 2005?
liability_2005 = 20963
# 2. What was the total expense related to employee separations in 2006?
expense_2006 = 496
# 3. What were the cash payments related to employee separations in 2006?
cash_payments_2006 = -12389
# 4. What is the net change in the balance of liability related to employee separations during 2006? (depends on 1, 2, and 3)
net_change_2006 = expense_2006 + cash_payments_2006
print(net_change_2006)
#DONE
```",-13636,2,"-11893
",-13636.0,-11893.0,0.0,0.0
277,277,277,what was the percentage growth in the dividend yield from 2007 to 2008,"```python
# 1. What was the dividend yield in 2008?
dividend_yield_2008 = 2.9  # in percent (independent, support=[dividend yield | 3.1% (3.1 %) | 2.9% (2.9 %) | 1.5% (1.5 %), 2009 | 2008 | 2007])
# 2. What was the dividend yield in 2007?
dividend_yield_2007 = 1.5  # in percent (independent, support=[dividend yield | 3.1% (3.1 %) | 2.9% (2.9 %) | 1.5% (1.5 %), 2009 | 2008 | 2007])
# 3. What was the percentage growth in the dividend yield from 2007 to 2008? (depends on 1 and 2, support=[])
dividend_yield_growth = ((dividend_yield_2008 - dividend_yield_2007) / dividend_yield_2007) * 100
ans = dividend_yield_growth
print(ans)
#DONE
```",93.3%,2,"93.33333333333333
",0.9329999999999999,0.9329999999999999,100.0,100.0
278,278,278,what would the 2012 shares outstanding in millions have been without the acquisition of smith international?,"```python
# 1. What are the shares outstanding in 2010 without the acquisition of Smith International? 
shares_outstanding_2010 = 1195  # in millions (independent, support=[balance january 1 2010 | 1334 | -139 ( 139 ) | 1195, acquisition of smith international inc . | 100 | 76 | 176])

# 2. What is the change in shares outstanding due to the acquisition of Smith International in 2010?
change_2010 = 176 - shares_outstanding_2010

# 3. What are the shares outstanding in 2012 without the acquisition of Smith International?
shares_outstanding_2012_no_acquisition = shares_outstanding_2010 + change_2010

print(shares_outstanding_2012_no_acquisition)
# DONE
```",1152,2,"176
",1152,176,0.0,0.0
279,279,279,what is the average size ( in square feet ) of call centers in 2017?,"```python
# 1. What is the size of call centers in square feet in 2017? (independent, support=[call center | 17 | 1400000])
size_call_centers_2017 = 1400000
# 2. What is the number of call centers in 2017? (independent, support=[call center | 17 | 1400000])
num_call_centers_2017 = 17
# 3. What is the total size of all call centers in square feet in 2017? (depends on 1 and 2, support=[])
total_size_call_centers_2017 = size_call_centers_2017 * num_call_centers_2017
# 4. What is the average size of call centers in square feet in 2017? (depends on 3, support=[])
average_size_call_centers_2017 = total_size_call_centers_2017 / num_call_centers_2017
print(average_size_call_centers_2017)
#DONE
```",82352.94,2,"1400000.0
",82352.94,1400000.0,0.0,0.0
280,280,280,what was the change in millions of buildings from 2015 to 2016?,"```python
# 1. What was the value of buildings in millions in 2015?
buildings_2015 = 207  # in millions (independent, support=[buildings | 190 | 207, | 2016 | 2015])
# 2. What was the value of buildings in millions in 2016?
buildings_2016 = 190  # in millions (independent, support=[buildings | 190 | 207, | 2016 | 2015])
# 3. What was the change in millions of buildings from 2015 to 2016? (depends on 1 and 2, support=[])
change_buildings = buildings_2016 - buildings_2015
print(change_buildings)
#DONE
```",-17,2,"-17
",-17.0,-17.0,100.0,100.0
281,281,281,what was the average initial health care trend rate for the three year period in%?,"```python
# 1. What was the initial health care trend rate in 2015?
initial_trend_rate_2015 = 8.00  # in percent (independent, support=[initial health care trend rate | 8.00% ( 8.00 % ) | 8.25% ( 8.25 % ) | 8.00% ( 8.00 % ), | 2017 | 2016 | 2015])

# 2. What was the initial health care trend rate in 2016?
initial_trend_rate_2016 = 8.25  # in percent (independent, support=[initial health care trend rate | 8.00% ( 8.00 % ) | 8.25% ( 8.25 % ) | 8.00% ( 8.00 % ), | 2017 | 2016 | 2015])

# 3. What was the initial health care trend rate in 2017?
initial_trend_rate_2017 = 8.00  # in percent (independent, support=[initial health care trend rate | 8.00% ( 8.00 % ) | 8.25% ( 8.25 % ) | 8.00% ( 8.00 % ), | 2017 | 2016 | 2015])

# 4. What was the average initial health care trend rate for the three year period in%?
average_initial_trend_rate = (initial_trend_rate_2015 + initial_trend_rate_2016 + initial_trend_rate_2017) / 3
print(average_initial_trend_rate)
#DONE
```",8.08,2,"8.083333333333334
",8.08,8.08,100.0,100.0
282,282,282,what is the five year total return on the goldman sachs group inc.?,"```python
# 1. What was the initial investment in the Goldman Sachs Group Inc. common stock on December 26, 2008?
initial_investment = 100.00  # in dollars (independent, support=[the goldman sachs group inc. | $ 100.00 | $ 224.98 | $ 226.19 | $ 123.05 | $ 176.42 | $ 248.36])
# 2. What was the value of the investment in the Goldman Sachs Group Inc. common stock on December 31, 2013?
final_value = 248.36  # in dollars (independent, support=[the goldman sachs group inc. | $ 100.00 | $ 224.98 | $ 226.19 | $ 123.05 | $ 176.42 | $ 248.36])
# 3. What is the total return on the investment in the Goldman Sachs Group Inc. common stock over five years?
total_return = ((final_value - initial_investment) / initial_investment) * 100
print(total_return)
#DONE
```",148.36,2,"148.36
",148.36,148.36,100.0,100.0
283,283,283,what was the percentage change in rental expense for operating leases from 2014 to 2015?,"```python
# 1. What was the rental expense for operating leases in 2014?
rental_expense_2014 = 200450  # in thousands (independent, support=[2017 | $ 200450, 2018 | 168926, 2019 | 136462, 2020 | 110063, 2021 | 82494, thereafter | 486199, future minimum lease payments | $ 1184594])

# 2. What was the rental expense for operating leases in 2015?
rental_expense_2015 = 168926  # in thousands (independent, support=[2017 | $ 200450, 2018 | 168926, 2019 | 136462, 2020 | 110063, 2021 | 82494, thereafter | 486199, future minimum lease payments | $ 1184594])

# 3. What is the change in rental expense for operating leases from 2014 to 2015?
change = rental_expense_2015 - rental_expense_2014

# 4. What is the percentage change in rental expense for operating leases from 2014 to 2015?
percent_change = (change / rental_expense_2014) * 100
print(percent_change)
#DONE
```",13%,2,"-15.726615115989025
",0.13,-15.726615115989025,0.0,0.0
284,284,284,in 2013 what was the percent of the allowances for doubtful accounts,"```python
# 1. What was the amount of allowances for doubtful accounts in 2013? (independent, support=[trade and other accounts receivable | $ 546.5 | $ 516.9, allowances for doubtful accounts | -14.9 ( 14.9 ) | -19.0 ( 19.0 ), total trade and other accounts receivable 2013 net | $ 531.6 | $ 497.9])
allowances_2013 = 14.9
# 2. What was the total trade and other accounts receivable net in 2013? (independent, support=[trade and other accounts receivable | $ 546.5 | $ 516.9, allowances for doubtful accounts | -14.9 ( 14.9 ) | -19.0 ( 19.0 ), total trade and other accounts receivable 2013 net | $ 531.6 | $ 497.9])
total_accounts_receivable_2013 = 531.6
# 3. What was the percent of the allowances for doubtful accounts in 2013? (depends on 1 and 2, support=[])
percent_allowances_2013 = (allowances_2013 / total_accounts_receivable_2013) * 100
print(percent_allowances_2013)
#DONE
```",2.72%,2,"2.802859292701279
",0.027200000000000002,2.802859292701279,0.0,0.0
285,285,285,what percent of the total increase or decrease would the euro be in 2017?,"```python
# 1. What is the total increase or decrease in revenue for 2017?
total_increase_decrease_2017 = 130  # in millions (independent, support=[currency | 2017 | 2016 | 2015])

# 2. What is the revenue denominated in euros for 2017?
revenue_euro_2017 = 35  # in millions (independent, support=[currency | 2017 | 2016 | 2015])

# 3. What percent of the total increase or decrease would the euro be in 2017?
percent_euro_2017 = (revenue_euro_2017 / total_increase_decrease_2017) * 100
print(percent_euro_2017)
# DONE
```",27%,2,"26.923076923076923
",0.27,0.27,100.0,100.0
286,286,286,in 2014 what was the ratio of the aggregate notional amount of outstanding interest rate swaps to the outstanding foreign currency hedges,"```python
# 1. What was the aggregate notional amount of outstanding interest rate swaps in 2014? 
interest_rate_swaps_2014 = 1.3  # in billion dollars (independent, support=[])
# 2. What was the aggregate notional amount of outstanding foreign currency hedges in 2014?
foreign_currency_hedges_2014 = 0.804  # in billion dollars (independent, support=[])
# 3. What was the ratio of the aggregate notional amount of outstanding interest rate swaps to the outstanding foreign currency hedges in 2014? 
ratio_interest_rate_to_foreign_currency = interest_rate_swaps_2014 / foreign_currency_hedges_2014
print(ratio_interest_rate_to_foreign_currency)
# DONE
```",1.62,2,"1.616915422885572
",1.62,1.62,100.0,100.0
287,287,287,"what was the change in otti between 2011 and 2012 , in millions?","```python
# What was the otti in 2011? (independent, support=[other-than-temporary impairment ( 201cotti 201d ) | $ -19.8 ( 19.8 ) | $ -9.2 ( 9.2 ), year ended december 31 2012 | 2011])
otti_2011 = -5.7

# What was the otti in 2012? (independent, support=[other-than-temporary impairment ( 201cotti 201d ) | $ -19.8 ( 19.8 ) | $ -9.2 ( 9.2 ), year ended december 31 2012 | 2011])
otti_2012 = 2.9

# What was the change in otti between 2011 and 2012? (depends on 1 and 2, support=[])
change_in_otti = otti_2012 - otti_2011

print(change_in_otti)
# DONE
```",10.6,2,"8.6
",10.6,8.6,0.0,0.0
288,288,288,what is the annualized return for the s&p 500 aematerials index during 2012 and 2017?,"```python
# 1. Calculate the annualized return for the s&p 500 aematerials index during 2012 and 2017
# 2. What was the initial value of the s&p 500 aematerials index in 2012?
initial_value_materials_2012 = 100  # in dollars (independent, support=[s&p 500 aematerials index | 100 | 125.60 | 134.28 | 123.03 | 143.56 | 177.79])
# 3. What was the final value of the s&p 500 aematerials index in 2017?
final_value_materials_2017 = 177.79  # in dollars (independent, support=[s&p 500 aematerials index | 100 | 125.60 | 134.28 | 123.03 | 143.56 | 177.79])
# 4. Calculate the annualized return for the s&p 500 aematerials index using the formula
annualized_return_materials = ((final_value_materials_2017 / initial_value_materials_2012) ** (1/5) - 1) * 100
print(annualized_return_materials)
# DONE
```",22.25%,2,"12.197057190522752
",0.2225,12.197057190522752,0.0,0.0
